name,displayName,level,health,mana,xpPerHit,xpOnDeath,hitDamageMin,hitDamageMax,goldMin,goldMax,str,end,agi,intel,will,wis,luck,dodge,acMin,acMax,aggro,speed,canAttack,tameable,tameMaxLevel,respawnTimeMs,lootItems
Deranged Orderly,Infirmier dérangé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,0,30000,C5 Permit:0.05|J3 Permit:0.5
MOBPURIFIER1,Purifier,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
Madman,Mad Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,0,30000,C2 Permit:0.15|F1 Permit:0.3
Raving Lunatic,Fou délirant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,0,30000,G4 Permit:0.4|I4 Permit:0.2
Raving Lunatic,Fou délirant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,0,30000,G4 Permit:0.4|I4 Permit:0.2
TROLLBIGBRUDDALBASHAH1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLBIGWORVIKTOR1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLBLUDFIGHTOR1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLCLANGBANGAH1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLGRUBBRINGAH1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLMADLIMBMANGLOR1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLMEANHEADDRUMMAH1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLMOONFIREDANSAH1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLMUNCHHUNTOR1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLPROTEKTERRITOR1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLSTANDANBONKAH1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
TROLLTOTEMHERBDOKTOR1,monstre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,30000,
BLOODLUST,Blood Lust,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
Bat,Chauve-souris,1,27,0,1,21,2,5,1,5,12,15,18,16,0,14,0,14,0,0,50,0,true,false,0,30000,Torch:0.05|Light healing potion:0.02
Brown Rat,Rat brun,1,27,0,1,21,2,5,1,5,16,15,15,16,0,15,0,14,0,0,50,0,true,true,10,30000,Torch:0.02
CARMAN,Hel,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
CENTAURMANAWEAVER,Centaur Manaweaver,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
GLURIURL,Gluriurl {God of Corruption},1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBBLACKPROPHET,Black Prophet,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBDARKCLERIC,Dark Cleric,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBDARKNOBLE,Dark Noble,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBGEHENNAREAVER,Gehenna Reaver,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBGIANTBLACKWIDOW,Giant Black Widow,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBHERETICWARRIOR,Heretic Warrior,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBILLUSIONWEAVER,Illusion Weaver,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBMADBERSERKERDEMON,Mad Berserker Demon,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBMERCENARYLEADER,Mercenary Leader,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBMERCENARYLIEUTENANTA,Mercenary Lieutenant A,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBMERCENARYLIEUTENANTB,Mercenary Lieutenant B,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBMERCENARYLIEUTENANTC,Mercenary Lieutenant C,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBMORDRED,Commander Mordred,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBNEOFLARE,Ne of Lare,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBNIGHTRETRIEVER,Night Retriever,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBPURIFIER,Purifier,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBQUENTINTARANTULA,Quentin Tarantula,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBSHADOWSTALKER,Shadowstalker,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
MOBSHRIEKERRODENT,Shrieker Rodent,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
OLINHAAD2,Olin Haad,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
URIKTHIEF,Thief,1,100,0,1,100,1,2,0,0,10,10,10,10,10,10,10,0,0,0,0,0,true,false,0,30000,
Dungeon Bat,Chauve-souris de donjon,2,41,0,1,34,3,7,3,11,17,16,16,17,0,16,0,23,0,0,40,0,true,false,0,30000,
Green Slime,Boue verte,2,41,0,1,34,3,7,3,11,15,10,25,17,0,16,0,8,0,1074266112,60,0,true,false,0,30000,
Large Rat,Gros rat,2,41,0,1,34,3,7,3,11,15,10,25,17,0,16,0,10,0,0,50,0,true,false,0,30000,
