# Standalone unused sprites — review before deletion
# Delete a line to KEEP that sprite. Remaining lines will be removed.
# name	width	height	bytes	type
Weather_Rain0	1152	832	931198	sprite
LoadScreen	640	480	343427	ground
LoadScreenFrench	640	480	325318	sprite
_Intro 6	640	480	324212	ground
LoadScreenEnglish	640	480	322449	sprite
_Intro 7	640	480	321479	ground
_Intro 0	640	480	321275	ground
_Intro 1	640	480	320963	ground
_Intro 8	640	480	320940	ground
_Intro 5	640	480	319387	ground
Chatbox	580	480	318452	ground
_Intro 4	640	480	316027	ground
_Intro 2	640	480	313386	ground
_Intro 3	640	480	311605	ground
_Splash	640	480	291169	ground
Trade_Interface_OFF	504	366	214034	sprite
Trade_Interface_ON	504	366	214013	sprite
_title08	640	480	201340	ground
_title07	640	480	200006	ground
_title09	640	480	199757	ground
_title06	640	480	196812	ground
_title10	640	480	195279	ground
_title11	640	480	185783	ground
Castle TOWER	296	438	183024	sprite
_title05	640	480	182250	ground
OldSpellBook	512	290	170263	sprite
_title12	640	480	162445	ground
_title04	640	480	152606	ground
EquipMenu	428	282	142719	sprite
SupraHeal-2c	315	238	129023	sprite
v2menu	640	480	125618	sprite
SupraHeal-2d	309	235	125134	sprite
SupraHeal-2b	309	234	124396	sprite
_title13	640	480	123854	ground
_Logo	640	480	116399	ground
_title03	640	480	110956	ground
Entreemine	353	255	105500	sprite
SupraHeal-2e	267	224	103155	sprite
SupraHeal-2f	241	207	83190	sprite
SupraHeal-2a	235	205	82953	sprite
LargeStatBox	452	279	79104	sprite
Weather_Fog	512	384	75488	sprite
BoulderFireA-2c	464	301	75470	sprite
Waiting Background	640	480	74862	sprite
BoulderFireA-2b	452	298	73119	sprite
HuteGob2	414	246	72192	sprite
_title14	640	480	72036	ground
Escape	376	248	70114	sprite
HuteGob1	403	256	69809	sprite
BoulderFireA-2a	444	296	69354	sprite
BoulderFireA-2d	464	300	67337	sprite
Castle Border1	180	309	65304	sprite
SupraHeal-2g	199	185	62655	sprite
_title02	640	480	61742	ground
NecroA01A-2d	364	299	53676	sprite
NecroA01A-2c	360	292	53058	sprite
NecroA01A-2b	388	290	52934	sprite
NecroA01A-2e	376	293	52659	sprite
Fountaine20018	336	228	52282	sprite
Fountaine20002	336	228	52159	sprite
Fountaine20007	336	228	52132	sprite
Fountaine20015	336	228	52120	sprite
Fountaine20010	336	228	52118	sprite
Fountaine20020	336	228	52118	sprite
Fountaine20014	336	228	52090	sprite
Fountaine20000	336	228	52047	sprite
NecroA01A-2a	392	290	52047	sprite
Fountaine20011	336	228	51939	sprite
Fountaine20001	336	228	51931	sprite
Fountaine20004	336	228	51893	sprite
Fountaine20016	336	228	51881	sprite
Fountaine20017	336	228	51813	sprite
Fountaine20013	336	228	51803	sprite
Fountaine20008	336	228	51693	sprite
Fountaine20009	336	228	51582	sprite
Fountaine20012	336	228	51500	sprite
Fountaine20003	336	228	51497	sprite
Fountaine20019	336	228	51410	sprite
Fountaine20006	336	228	51253	sprite
Fountaine20005	336	228	51121	sprite
NecroA01A-2f	384	293	49276	sprite
Castle Rampart	96	328	47608	sprite
NecroA01-2a	312	205	46339	sprite
SupraHeal-2h	183	161	44779	sprite
thunderstorm-2d	200	261	44486	sprite
NecroA01A-2g	368	293	43711	sprite
thunderstorm-2h	204	259	43558	sprite
thunderstorm-2q	200	253	43507	sprite
thunderstorm-2c	196	262	43378	sprite
thunderstorm-2r	196	252	43142	sprite
thunderstorm-2g	204	259	42819	sprite
thunderstorm-2p	200	254	42796	sprite
thunderstorm-2e	212	260	42414	sprite
thunderstorm-2f	212	259	41759	sprite
thunderstorm-2o	196	255	41578	sprite
thunderstorm-2l	196	256	41558	sprite
NecroA01-2b	304	209	41525	sprite
thunderstorm-2m	188	257	41207	sprite
thunderstorm-2j	188	258	41114	sprite
thunderstorm-2n	196	256	41080	sprite
thunderstorm-2s	188	251	41076	sprite
thunderstorm-2k	196	257	41014	sprite
thunderstorm-2a	196	263	40801	sprite
_title15	640	480	40726	ground
thunderstorm-2i	196	257	40653	sprite
thunderstorm-2u	176	244	40403	sprite
thunderstorm-2b	196	262	40284	sprite
IgnoreListPopUp	160	183	40246	sprite
thunderstorm-2t	184	249	40128	sprite
thunderstorm-2v	172	233	39461	sprite
thunderstorm-2w	184	224	38932	sprite
NecroA01-2c	280	209	37048	sprite
NecroA01A-2h	364	289	35145	sprite
DungeonRockCornerX	160	219	33355	sprite
Castle Border2	84	306	33349	sprite
_title01	640	480	32762	ground
NecroA01-2d	280	213	32375	sprite
Tente1	162	303	32128	sprite
DungeonRockCornerNE	160	220	31799	sprite
DungeonRockCornerSW	160	220	31300	sprite
DungeonRockCornerSE	160	219	30995	sprite
SupraHeal-2i	183	144	30971	sprite
DungeonRockCornerNW	160	220	29534	sprite
Tente3	162	302	29525	sprite
DungeonRockCornerV	160	181	28128	sprite
NecroA01A-2i	364	282	27126	sprite
DungeonRockCornerN	160	181	26838	sprite
NM_Fire000-2f	204	252	26720	sprite
NecroA01-2e	292	210	26585	sprite
NM_Fire000-2d	204	259	25939	sprite
NM_Fire000-2b	204	259	25840	sprite
NM_Fire000-2a	200	260	25760	sprite
NM_Fire000-2c	204	264	25573	sprite
NM_Fire000-2e	204	254	25565	sprite
NM_Fire000-2g	200	253	24715	sprite
Tente2	162	285	24640	sprite
DungeonRockCorner2	112	219	24488	sprite
OldPentacle	221	116	24186	sprite
NM_Fire000-2h	204	256	24037	sprite
NM_Fire000-2i	204	248	22516	sprite
ChannelJoinPopUp	204	76	21845	sprite
SupraHeal-2j	183	128	21698	sprite
NM_Fire000-2j	204	253	21528	sprite
CleanPentacle	235	117	20422	sprite
NecroA01-2f	300	209	20300	sprite
Boulder	168	159	20190	sprite
NM_Poison000-2a	188	157	19254	sprite
NM_Poison000-2d	188	158	19250	sprite
NM_Poison000-2b	188	157	19238	sprite
NM_Poison000-2c	188	157	19197	sprite
NM_Fire000-2k	200	228	19153	sprite
thunderstorm-2x	136	216	19116	sprite
DungeonRockCorner	92	220	18957	sprite
NM_Poison000-2e	188	159	18834	sprite
NM_Poison000-2f	188	158	18776	sprite
NM_Poison000-2g	188	159	18349	sprite
NM_Fire000-2l	200	220	17930	sprite
SellUIPart	148	160	17487	sprite
NM_Poison000-2h	188	160	17418	sprite
Ruined_BrickWallCornerV	96	125	16997	sprite
NM_Fire000-2m	200	213	16737	sprite
Status	512	32	16556	ground
NM_Poison000-2i	184	161	16479	sprite
NM_Poison000-2j	188	157	15396	sprite
NM_Fire000-2n	200	214	15020	sprite
TableForge1	213	146	14931	sprite
Ruined_StuccoCornerV	96	131	14885	sprite
NecroA01-2g	284	208	14687	sprite
SupraHeal-2k	183	120	14517	sprite
DungeonDoor	104	137	13676	sprite
NM_Poison000-2k	184	159	13444	sprite
TableTemple1	131	102	13128	sprite
NM_Fire000-2o	196	215	12633	sprite
Leader	292	29	12448	sprite
Leave	292	29	11833	sprite
BancTemple1	150	128	11701	sprite
NM_Poison000-2l	184	159	11207	sprite
ShopTable2	348	107	11136	sprite
Web3	132	119	10938	sprite
Web7	132	111	8961	sprite
NecroA01-2h	280	207	8881	sprite
NM_Lightning000-2a	196	173	8689	sprite
TroneKing2	79	150	8512	sprite
_Intro Warrior	120	104	8465	sprite
TroneKing1	75	146	8162	sprite
NM_Poison000-2m	168	155	8108	sprite
DungeonRockArcEnd1 5	32	177	7744	sprite
DungeonRockArc 5	32	177	7734	sprite
DungeonMainArcTorch 3	32	151	7698	sprite
DungeonRockArcEnd2 4	32	177	7690	sprite
DungeonMainArcTorch 4	32	151	7681	sprite
DungeonRockArcEnd1 4	32	177	7413	sprite
DungeonRockArc 4	32	177	7405	sprite
DungeonMainArcTorch 5	32	151	7321	sprite
DungeonRockArcEnd1 3	32	177	7235	sprite
DungeonRockArcEnd2 3	32	177	7230	sprite
DungeonRockArcEnd1 2	32	177	7229	sprite
DungeonRockArc 3	32	177	7225	sprite
DungeonRockArc 2	32	177	7215	sprite
DungeonRockArcEnd2 2	32	177	7205	sprite
DungeonDarkArcTorch 3	32	151	7157	sprite
DungeonRockArcEnd1 1	32	177	7150	sprite
DungeonRockArcEnd2 5	32	177	7141	sprite
DungeonRockArc 1	32	177	7022	sprite
DungeonRockArcEnd2 1	32	177	7022	sprite
DungeonRockWall 1	32	159	6986	sprite
EnterProgressBar	400	60	6948	sprite
DungeonRockWall 5	32	159	6941	sprite
DungeonDarkArcTorch 2	32	151	6931	sprite
DungeonMainArcTorch 2	32	151	6787	sprite
SupraHeal-2l	177	112	6715	sprite
_Tfctit01	240	90	6688	sprite
_Tfctit30	240	90	6688	sprite
DungeonRockWall 2	32	159	6664	sprite
_Tfctit14	240	90	6663	sprite
_Tfctit17	240	90	6663	sprite
Chair 6	144	107	6654	sprite
_Tfctit03	240	90	6622	sprite
_Tfctit28	240	90	6622	sprite
DungeonRockArcDark 1	32	177	6580	sprite
DungeonRockArcDarkEnd1 1	32	178	6571	sprite
thunderstorm-2y	112	203	6538	sprite
NM_Lightning000-2b	188	163	6535	sprite
DungeonRockWallEnd3	32	146	6529	sprite
_Tfctit15	240	90	6523	sprite
_Tfctit16	240	90	6523	sprite
DungeonRockArcDarkEnd2 2	32	178	6454	sprite
DungeonRockWall 4	32	159	6453	sprite
_Tfctit04	240	90	6446	sprite
_Tfctit27	240	90	6446	sprite
DungeonDarkArcTorch 1	32	151	6445	sprite
_Tfctit12	240	90	6434	sprite
_Tfctit19	240	90	6434	sprite
_Tfctit13	240	90	6421	sprite
_Tfctit18	240	90	6421	sprite
DungeonRockArcDarkEnd1 2	32	178	6414	sprite
DungeonRockArcDark 2	32	177	6397	sprite
DungeonRockArcDarkEnd2 4	32	178	6362	sprite
DungeonRockArcDarkEnd1 5	32	178	6361	sprite
DungeonRockArcDark 4	32	177	6353	sprite
DungeonRockArcDarkEnd1 4	32	178	6339	sprite
_Tfctit02	240	90	6245	sprite
_Tfctit29	240	90	6245	sprite
_Intro Priest	68	90	6217	sprite
_Tfctit10	240	90	6199	sprite
_Tfctit21	240	90	6199	sprite
DungeonRockArcDarkEnd1 3	32	178	6183	sprite
DungeonRockArcDarkEnd2 3	32	178	6174	sprite
DungeonRockArcDark 3	32	177	6146	sprite
DungeonRockWall 3	32	159	6116	sprite
DungeonRockArcDarkEnd2 5	32	178	6112	sprite
DungeonRockArcDark 5	32	177	6108	sprite
_Tfctit11	240	90	6092	sprite
_Tfctit20	240	90	6092	sprite
DungeonRockArcDarkEnd2 1	32	178	6092	sprite
_Tfctit09	240	90	6079	sprite
_Tfctit22	240	90	6079	sprite
Web8	88	84	6062	sprite
SupraHeal-2m	177	94	6008	sprite
DungeonMainArcTorch 1	32	151	5987	sprite
DungeonDarkArcTorch 4	32	151	5950	sprite
_Tfctit05	240	90	5897	sprite
_Tfctit26	240	90	5897	sprite
_Tfctit08	240	90	5884	sprite
_Tfctit23	240	90	5884	sprite
_Tfctit06	240	90	5870	sprite
_Tfctit25	240	90	5870	sprite
Gems 7	128	69	5831	sprite
