# Mask index per legacy tile id, recovered from the original t4c.exe (1.25).
# The VSFID "template" attribute does NOT encode it: 741 of 873 ids disagree
# with the binary. Ids marked "interpolated" sit inside a verified linear run
# whose name the extractor could not read; both neighbours agree on the value.
# raw_id	mask	source
0118	tmpl1 1	exe
0119	tmpl1 2	exe
011A	tmpl1 3	exe
011B	tmpl1 4	interpolated
011C	tmpl1 5	interpolated
011D	tmpl1 6	exe
011E	tmpl1 7	exe
011F	tmpl1 8	exe
0120	tmpl1 9	exe
0121	tmpl1 10	exe
0122	tmpl1 11	exe
0123	tmpl1 12	exe
0124	tmpl1 13	exe
0125	tmpl1 14	exe
0126	tmpl1 15	exe
0127	tmpl1 16	exe
0128	tmpl1 17	exe
0129	tmpl1 18	exe
012A	tmpl1 19	exe
012B	tmpl1 20	exe
012C	tmpl1 21	exe
012D	tmpl1 22	exe
012E	tmpl1 23	exe
012F	tmpl1 24	exe
0130	tmpl1 25	exe
0131	tmpl1 26	exe
0132	tmpl1 27	exe
0133	tmpl1 28	exe
0134	tmpl3 1	exe
0135	tmpl3 2	exe
0136	tmpl3 3	exe
0137	tmpl3 4	exe
0138	tmpl3 5	exe
0139	tmpl3 6	exe
013A	tmpl3 7	exe
013B	tmpl3 8	exe
013C	tmpl3 9	exe
013D	tmpl3 10	exe
013E	tmpl3 11	exe
013F	tmpl3 12	exe
0140	tmpl3 13	exe
0141	tmpl3 14	exe
0142	tmpl3 15	exe
0143	tmpl3 16	exe
0144	tmpl3 17	exe
0145	tmpl3 18	exe
0146	tmpl3 19	exe
0147	tmpl3 20	exe
0148	tmpl3 21	exe
0149	tmpl3 22	exe
014A	tmpl3 23	exe
014B	tmpl3 24	exe
014C	tmpl3 25	exe
014D	tmpl3 26	exe
014E	tmpl3 27	exe
014F	tmpl3 28	exe
0150	tmpl3 29	exe
0151	tmpl3 30	exe
0152	tmpl3 31	exe
0153	tmpl3 32	exe
0154	tmpl3 1	exe
0155	tmpl3 2	exe
0156	tmpl3 3	exe
0157	tmpl3 4	exe
0158	tmpl3 5	exe
0159	tmpl3 6	exe
015A	tmpl3 7	exe
015B	tmpl3 8	exe
015C	tmpl3 9	exe
015D	tmpl3 10	exe
015E	tmpl3 11	exe
015F	tmpl3 12	exe
0160	tmpl3 13	exe
0161	tmpl3 14	exe
0162	tmpl3 15	exe
0163	tmpl3 16	exe
0164	tmpl3 17	exe
0165	tmpl3 18	exe
0166	tmpl3 19	exe
0167	tmpl3 20	exe
0168	tmpl3 21	exe
0169	tmpl3 22	exe
016A	tmpl3 23	exe
016B	tmpl3 24	exe
016C	tmpl3 25	exe
016D	tmpl3 26	exe
016E	tmpl3 27	exe
016F	tmpl3 28	exe
0175	tmpl3 1	exe
0176	tmpl3 2	exe
0177	tmpl3 3	exe
0178	tmpl3 4	exe
0179	tmpl3 5	exe
017A	tmpl3 6	exe
017B	tmpl3 7	exe
017C	tmpl3 8	exe
017D	tmpl3 9	exe
017E	tmpl3 10	exe
017F	tmpl3 11	exe
0180	tmpl3 12	exe
0181	tmpl3 13	exe
0182	tmpl3 14	exe
0183	tmpl3 15	exe
0184	tmpl3 16	exe
0185	tmpl3 17	exe
0186	tmpl3 18	exe
0187	tmpl3 19	exe
0188	tmpl3 20	exe
0189	tmpl3 21	exe
018A	tmpl3 22	exe
018B	tmpl3 23	exe
018C	tmpl3 24	exe
018D	tmpl3 25	exe
018E	tmpl3 26	exe
018F	tmpl3 27	exe
0190	tmpl3 28	exe
0191	tmpl1 1	exe
0192	tmpl1 2	exe
0193	tmpl1 3	exe
0194	tmpl1 4	exe
0195	tmpl1 5	exe
0196	tmpl1 6	exe
0197	tmpl1 7	exe
0198	tmpl1 8	exe
0199	tmpl1 9	exe
019A	tmpl1 10	exe
019B	tmpl1 11	exe
019C	tmpl1 12	exe
019D	tmpl1 13	exe
019E	tmpl1 14	exe
019F	tmpl1 15	exe
01A0	tmpl1 16	exe
01A1	tmpl1 17	exe
01A2	tmpl1 18	exe
01A3	tmpl1 19	exe
01A4	tmpl1 20	exe
01A5	tmpl1 21	exe
01A6	tmpl1 22	exe
01A7	tmpl1 23	exe
01A8	tmpl1 24	exe
01A9	tmpl1 25	exe
01AA	tmpl1 26	exe
01AB	tmpl1 27	exe
01AC	tmpl1 28	exe
01AD	tmpl3 1	exe
01AE	tmpl3 2	exe
01AF	tmpl3 3	exe
01B0	tmpl3 4	exe
01B1	tmpl3 5	exe
01B2	tmpl3 6	exe
01B3	tmpl3 7	exe
01B4	tmpl3 8	exe
01B5	tmpl3 9	exe
01B6	tmpl3 10	exe
01B7	tmpl3 11	exe
01B8	tmpl3 12	exe
01B9	tmpl3 13	exe
01BA	tmpl3 14	exe
01BB	tmpl3 15	exe
01BC	tmpl3 16	exe
01BD	tmpl3 17	exe
01BE	tmpl3 18	exe
01BF	tmpl3 19	exe
01C0	tmpl3 20	exe
01C1	tmpl3 21	exe
01C2	tmpl3 22	exe
01C3	tmpl3 23	exe
01C4	tmpl3 24	exe
01C5	tmpl3 25	exe
01C6	tmpl3 26	exe
01C7	tmpl3 27	exe
01C8	tmpl3 28	exe
01C9	tmpl1 1	exe
01CA	tmpl1 2	exe
01CB	tmpl1 3	exe
01CC	tmpl1 4	exe
01CD	tmpl1 5	exe
01CE	tmpl1 6	exe
01CF	tmpl1 7	exe
01D0	tmpl1 8	exe
01D1	tmpl1 9	exe
01D2	tmpl1 10	exe
01D3	tmpl1 11	exe
01D4	tmpl1 12	exe
01D5	tmpl1 13	exe
01D6	tmpl1 14	exe
01D7	tmpl1 15	exe
01D8	tmpl1 16	exe
01D9	tmpl1 17	exe
01DA	tmpl1 18	exe
01DB	tmpl1 19	exe
01DC	tmpl1 20	exe
01DD	tmpl1 21	exe
01DE	tmpl1 22	exe
01DF	tmpl1 23	exe
01E0	tmpl1 24	exe
01E1	tmpl1 25	exe
01E2	tmpl1 26	exe
01E3	tmpl1 27	exe
01E4	tmpl1 28	exe
0205	tmpl3 1	exe
0206	tmpl3 2	exe
0207	tmpl3 3	exe
0208	tmpl3 4	exe
0209	tmpl3 5	exe
020A	tmpl3 6	exe
020B	tmpl3 7	exe
020C	tmpl3 8	exe
020D	tmpl3 9	exe
020E	tmpl3 10	exe
020F	tmpl3 11	exe
0210	tmpl3 12	exe
0211	tmpl3 13	exe
0212	tmpl3 14	exe
0213	tmpl3 15	exe
0214	tmpl3 16	exe
0215	tmpl3 17	exe
0216	tmpl3 18	exe
0217	tmpl3 19	exe
0218	tmpl3 20	exe
0219	tmpl3 21	exe
021A	tmpl3 22	exe
021B	tmpl3 23	exe
021C	tmpl3 24	exe
021D	tmpl3 25	exe
021E	tmpl3 26	exe
021F	tmpl3 27	exe
0220	tmpl3 28	exe
0221	tmpl3 29	exe
0222	tmpl3 30	exe
0223	tmpl3 31	exe
0224	tmpl3 32	exe
0225	tmpl3 1	exe
0226	tmpl3 2	exe
0227	tmpl3 3	exe
0228	tmpl3 4	exe
0229	tmpl3 5	exe
022A	tmpl3 6	exe
022B	tmpl3 7	exe
022C	tmpl3 8	exe
022D	tmpl3 9	exe
022E	tmpl3 10	exe
022F	tmpl3 11	exe
0230	tmpl3 12	exe
0231	tmpl3 13	exe
0232	tmpl3 14	exe
0233	tmpl3 15	exe
0234	tmpl3 16	exe
0235	tmpl3 17	exe
0236	tmpl3 18	exe
0237	tmpl3 19	exe
0238	tmpl3 20	exe
0239	tmpl3 21	exe
023A	tmpl3 22	exe
023B	tmpl3 23	exe
023C	tmpl3 24	exe
023D	tmpl3 25	exe
023E	tmpl3 26	exe
023F	tmpl3 27	interpolated
0240	tmpl3 28	exe
0241	tmpl3 29	exe
0242	tmpl3 30	exe
0243	tmpl3 31	exe
0244	tmpl3 32	exe
0245	tmpl3 1	exe
0246	tmpl3 2	exe
0247	tmpl3 3	exe
0248	tmpl3 4	exe
0249	tmpl3 5	exe
024A	tmpl3 6	exe
024B	tmpl3 7	exe
024C	tmpl3 8	exe
024D	tmpl3 9	exe
024E	tmpl3 10	exe
024F	tmpl3 11	exe
0250	tmpl3 12	exe
0251	tmpl3 13	exe
0252	tmpl3 14	exe
0253	tmpl3 15	exe
0254	tmpl3 16	exe
0255	tmpl3 17	exe
0256	tmpl3 18	exe
0257	tmpl3 19	exe
0258	tmpl3 20	exe
0259	tmpl3 21	exe
025A	tmpl3 22	exe
025B	tmpl3 23	exe
025C	tmpl3 24	exe
025D	tmpl3 25	exe
025E	tmpl3 26	exe
025F	tmpl3 27	exe
0260	tmpl3 28	exe
0261	tmpl3 29	exe
0262	tmpl3 30	exe
0263	tmpl3 31	exe
0264	tmpl3 32	exe
026B	tmpl3 1	exe
026C	tmpl3 2	exe
026D	tmpl3 3	exe
026E	tmpl3 4	exe
026F	tmpl3 5	exe
0270	tmpl3 6	exe
0271	tmpl3 7	exe
0272	tmpl3 8	exe
0273	tmpl3 9	exe
0274	tmpl3 10	exe
0275	tmpl3 11	exe
0276	tmpl3 12	exe
0277	tmpl3 13	exe
0278	tmpl3 14	exe
0279	tmpl3 15	exe
027A	tmpl3 16	exe
027B	tmpl3 17	exe
027C	tmpl3 18	exe
027D	tmpl3 19	exe
027E	tmpl3 20	exe
027F	tmpl3 21	exe
0280	tmpl3 22	exe
0281	tmpl3 23	exe
0282	tmpl3 24	exe
0283	tmpl3 25	exe
0284	tmpl3 26	exe
0285	tmpl3 27	exe
0286	tmpl3 28	exe
0287	tmpl3 29	exe
0288	tmpl3 30	exe
0289	tmpl3 31	exe
028A	tmpl3 32	exe
028B	tmpl1 1	exe
028C	tmpl1 2	exe
